country-code,country-name,e-gov-rank,e-gov-index,e-pat-index,osi,hci,tii
IRQ,Iraq,134,0.31414000000000003,0.13725,0.19685,0.5283,0.21727
IRL,Ireland,22,0.781,0.64705,0.67716,0.9619,0.70391
ISR,Israel,17,0.81615,0.86274,0.8740100000000001,0.8545,0.7199800000000001
ITA,Italy,23,0.7593,0.7843100000000001,0.74803,0.8552,0.67473
JAM,Jamaica,109,0.43882,0.19607,0.31496,0.7262,0.27533
JPN,Japan,6,0.88744,0.96078,0.9448799999999999,0.8621,0.8553299999999999
JOR,Jordan,79,0.51674,0.47058,0.51968,0.7202,0.31035
KAZ,Kazakhstan,28,0.72827,0.7647,0.74803,0.8619,0.5748800000000001
KEN,Kenya,119,0.38054,0.64705,0.42518999999999996,0.5552,0.1612
KIR,Kiribati,132,0.3201,0.29411,0.21259,0.6812,0.06654
KWT,Kuwait,49,0.6268,0.43137,0.5748,0.7194,0.5862
KGZ,Kyrgyzstan,101,0.46568000000000004,0.41176,0.27559,0.7413,0.38013
LAO,Lao People's Democratic Republic,152,0.26588,0.19607,0.14173,0.4941,0.16177
LVA,Latvia,31,0.71775,0.7058800000000001,0.7007800000000001,0.8288,0.62367
LBN,Lebanon,89,0.49823,0.29411,0.35433000000000003,0.7374,0.40298
LSO,Lesotho,153,0.26294,0.13725,0.15748,0.5135,0.11785
LBR,Liberia,179,0.17682,0.11764000000000001,0.07874,0.3754,0.0763
LBY,Libya,121,0.3753,0.058820000000000004,0.01574,0.7821,0.32809
LIE,Liechtenstein,35,0.69823,0.2745,0.51181,0.8361,0.7468199999999999
LTU,Lithuania,29,0.72709,0.64705,0.7559,0.8557,0.56968
LUX,Luxembourg,24,0.7591100000000001,0.54901,0.6220399999999999,0.783,0.87225
MDG,Madagascar,155,0.2606,0.35294000000000003,0.24409,0.4889,0.04879
MWI,Malawi,166,0.23208,0.23529,0.17322,0.4746,0.048369999999999996
MYS,Malaysia,52,0.61152,0.52941,0.67716,0.7119,0.44546
MDV,Maldives,94,0.48128999999999994,0.2745,0.3622,0.6865,0.39516
MLI,Mali,181,0.16335,0.15686,0.13385,0.2212,0.13501
MLT,Malta,40,0.6518,0.47058,0.40157,0.7855,0.7683399999999999
MHL,Marshall Islands,142,0.28506,0.2549,0.11023,0.7002,0.0448
MRT,Mauritania,174,0.1893,0.07843,0.04724,0.3581,0.16255999999999998
AFG,Afghanistan,173,0.19003,0.13725,0.1811,0.2418,0.14722000000000002
MUS,Mauritius,76,0.53375,0.52941,0.47243999999999997,0.6882,0.44061000000000006
MEX,Mexico,63,0.5733,0.6078399999999999,0.66141,0.7445,0.31393000000000004
FSM,Micronesia (Federated States of),130,0.33371,0.2549,0.18897,0.7023,0.10985
MCO,Monaco,38,0.67148,0.09802999999999999,0.22046999999999997,0.794,1.0
MNG,Mongolia,65,0.55808,0.6862699999999999,0.61417,0.7887,0.27138
MNE,Montenegro,45,0.63455,0.58823,0.52755,0.8279,0.54814
ALB,Albania,84,0.50455,0.52941,0.44881000000000004,0.71,0.3548
DZA,Algeria,136,0.31064,0.07843,0.07874,0.6543,0.19885
AND,Andorra,43,0.6426,0.43137,0.43306999999999995,0.7277,0.7670600000000001
AGO,Angola,140,0.29703,0.23529,0.29921,0.4941,0.09777999999999999
ATG,Antigua and Barbuda,60,0.5926600000000001,0.5098,0.41731999999999997,0.7669,0.59378
ARG,Argentina,46,0.63059,0.54901,0.55118,0.8571,0.48346999999999996
ARM,Armenia,61,0.5896899999999999,0.52941,0.61417,0.766,0.3889
MAR,Morocco,82,0.50598,0.80392,0.69291,0.4901,0.33499
MOZ,Mozambique,164,0.23836999999999997,0.33333,0.31496,0.3457,0.05449
MMR,Myanmar,175,0.18694000000000002,0.07843,0.02362,0.5288,0.00836
NAM,Namibia,117,0.38799,0.33333,0.32283,0.5693,0.27187
NRU,Nauru,145,0.27755,0.07843,0.05511,0.5617,0.21585
DMA,Dominica,110,0.4338,0.11764000000000001,0.18897,0.6701,0.44237
DOM,Dominican Republic,107,0.44808000000000003,0.33333,0.38582,0.6639,0.2945
ECU,Ecuador,83,0.50529,0.49018999999999996,0.48031,0.7037,0.33184
EGY,Egypt,80,0.51293,0.54901,0.59055,0.5912,0.35705
SLV,El Salvador,88,0.49885,0.6078399999999999,0.5354300000000001,0.6414,0.31975
GNQ,Equatorial Guinea,168,0.22675,0.0196,0.03149,0.5288,0.11996
ERI,Eritrea,192,0.09075,0.0,0.0,0.2723,0.0
EST,Estonia,15,0.81796,0.7647,0.77165,0.8889,0.79337
NPL,Nepal,165,0.23442,0.29411,0.15748,0.3774,0.16843
NLD,Netherlands,5,0.88966,1.0,0.9291299999999999,0.9224,0.8175100000000001
NZL,New Zealand,9,0.86436,0.7843100000000001,0.84251,1.0,0.75057
NIC,Nicaragua,147,0.27585,0.09802999999999999,0.09448,0.5639,0.16924
NER,Niger,191,0.09456,0.23529,0.12598,0.1192,0.03851
NGA,Nigeria,141,0.29286999999999996,0.33333,0.30708,0.3811,0.19045
NOR,Norway,13,0.83572,0.6862699999999999,0.7559,0.938,0.81328
OMN,Oman,48,0.62732,0.7058800000000001,0.73228,0.6624,0.48725
PAK,Pakistan,158,0.25799,0.33333,0.32283,0.3337,0.11742999999999999
PLW,Palau,108,0.4415,0.23529,0.16535,0.7999,0.35922
PAN,Panama,77,0.52422,0.49018999999999996,0.37006999999999995,0.7455,0.45713000000000004
PNG,Papua New Guinea,188,0.12028,0.0,0.00787,0.3,0.05296
PRY,Paraguay,122,0.374,0.2549,0.22834000000000002,0.67,0.22361
PER,Peru,72,0.5435399999999999,0.7058800000000001,0.62992,0.7289,0.2718
PHL,Philippines,95,0.47681,0.56862,0.48031,0.7051,0.24508000000000002
POL,Poland,42,0.64822,0.49018999999999996,0.5433,0.8396,0.56182
PRT,Portugal,37,0.68996,0.64705,0.63779,0.8227,0.60943
QAT,Qatar,44,0.63615,0.6078399999999999,0.65354,0.6671,0.58786
KOR,Republic of Korea,1,0.9462299999999999,1.0,0.9763700000000001,0.9273,0.9350299999999999
MDA,Republic of Moldova,66,0.55708,0.62745,0.52755,0.7201,0.42355
ROU,Romania,64,0.56315,0.47058,0.44093999999999994,0.81,0.43854
RUS,Russian Federation,27,0.72959,0.6862699999999999,0.7086600000000001,0.8388,0.6413
AUS,Australia,2,0.9103399999999999,0.9411700000000001,0.9291299999999999,0.9978,0.80405
AUT,Austria,20,0.7912399999999999,0.62745,0.74803,0.866,0.75972
AZE,Azerbaijan,68,0.5472,0.43137,0.43306999999999995,0.748,0.46048999999999995
BHS,Bahamas,92,0.49,0.19607,0.33858,0.7138,0.41758
TCD,Chad,189,0.10761,0.07843,0.04724,0.2341,0.041460000000000004
CHL,Chile,33,0.71216,0.9411700000000001,0.81889,0.8236,0.49396
CHN,China,70,0.54501,0.64705,0.60629,0.6734,0.3554
BHR,Bahrain,18,0.80885,0.82352,0.937,0.784,0.7055
BGD,Bangladesh,148,0.27571999999999997,0.39215,0.34645,0.3866,0.09414
BRB,Barbados,59,0.5933,0.09802999999999999,0.22046999999999997,0.8865,0.67295
BLR,Belarus,55,0.60529,0.35294000000000003,0.32283,0.8861,0.6069100000000001
BEL,Belgium,25,0.75638,0.62745,0.67716,0.8932,0.6988
BLZ,Belize,120,0.37738,0.29411,0.37795,0.6012,0.15295
BEN,Benin,180,0.1685,0.17647000000000002,0.11023,0.2756,0.11964000000000001
BTN,Bhutan,143,0.28285,0.35294000000000003,0.24409,0.429,0.17545999999999998
BOL,Bolivia,103,0.45616999999999996,0.41176,0.3937,0.7424,0.23242
BIH,Bosnia and Herzegovina,97,0.47068999999999994,0.23529,0.28346,0.7288,0.3998
BWA,Botswana,112,0.41984,0.31372,0.30708,0.6555,0.29694
DJI,Djibouti,184,0.1456,0.07843,0.06299,0.3182,0.05557
BRA,Brazil,57,0.60082,0.7058800000000001,0.59842,0.7372,0.46681000000000006
BRN,Brunei Darussalam,86,0.5042399999999999,0.058820000000000004,0.3622,0.7815,0.36898000000000003
BGR,Bulgaria,73,0.54209,0.2549,0.23621999999999999,0.796,0.59406
BFA,Burkina Faso,178,0.18043,0.13725,0.29921,0.1578,0.08423
BDI,Burundi,172,0.19278,0.058820000000000004,0.01574,0.5393,0.02332
KHM,Cambodia,139,0.29986,0.19607,0.17322,0.5189,0.20745
CMR,Cameroon,144,0.27823000000000003,0.15686,0.19685,0.5421,0.09579
CAN,Canada,11,0.84177,0.82352,0.91338,0.8952,0.7167600000000001
CPV,Cabo Verde,127,0.35505,0.09802999999999999,0.16535,0.6032,0.29658
CAF,Central African Republic,187,0.12574000000000002,0.03921,0.03937,0.3099,0.027989999999999998
COL,Colombia,50,0.6173,0.88235,0.7874,0.7348,0.32971
COM,Comoros,177,0.18077000000000001,0.03921,0.01574,0.4662,0.06037000000000001
COG,Congo,160,0.25695999999999997,0.09802999999999999,0.10236,0.5233,0.14526
CRI,Costa Rica,54,0.60614,0.82352,0.61417,0.7582,0.44606999999999997
CIV,C̫te d'Ivoire,171,0.20385,0.17647000000000002,0.17322,0.2992,0.13917000000000002
HRV,Croatia,47,0.62817,0.33333,0.46456000000000003,0.7928,0.6271100000000001
CUB,Cuba,116,0.39165,0.35294000000000003,0.22834000000000002,0.8497,0.09687
CYP,Cyprus,58,0.5957600000000001,0.31372,0.47243999999999997,0.7828,0.53203
CZE,Czech Republic,53,0.60695,0.2549,0.37006999999999995,0.8755,0.5753199999999999
PRK,Democratic People's Republic of Korea,149,0.27526,0.0196,0.00787,0.8007,0.01725
COD,Democratic Republic of the Congo,183,0.15514,0.0196,0.04724,0.3845,0.03369
DNK,Denmark,16,0.8162,0.54901,0.66141,0.9132,0.87403
ETH,Ethiopia,157,0.25888,0.2549,0.45669,0.2934,0.02659
FJI,Fiji,85,0.50437,0.39215,0.3937,0.8322,0.28719
FIN,Finland,10,0.84491,0.7058800000000001,0.77165,0.9037,0.8594
GNB,Guinea-Bissau,182,0.16085,0.0196,0.00787,0.3869,0.08776
GUY,Guyana,124,0.36951999999999996,0.33333,0.24409,0.6301,0.23437
ESP,Spain,12,0.84098,0.7843100000000001,0.9448799999999999,0.9152,0.66288
SLE,Sierra Leone,186,0.13285999999999998,0.09802999999999999,0.04724,0.2692,0.08211
FRA,France,4,0.89384,0.96078,1.0,0.8812,0.80029
GAB,Gabon,131,0.3294,0.21568,0.09448,0.6677,0.22601
GMB,Gambia,167,0.22851,0.21568,0.20472,0.3326,0.14816
GEO,Georgia (Country),56,0.60468,0.58823,0.59842,0.7895,0.42613
DEU,Germany,21,0.7864,0.7058800000000001,0.6692899999999999,0.8862,0.80377
GHA,Ghana,123,0.37354,0.39215,0.31496,0.5613,0.24438000000000001
GRC,Greece,34,0.7117600000000001,0.80392,0.60629,0.8741,0.65487
GRD,Grenada,78,0.5219699999999999,0.39215,0.34645,0.8166,0.40289
GTM,Guatemala,133,0.31603000000000003,0.19607,0.1496,0.5272,0.27125
GIN,Guinea,190,0.09543,0.0196,0.0,0.2359,0.05044
HTI,Haiti,176,0.18086,0.17647000000000002,0.11023,0.3372,0.09521
HND,Honduras,114,0.40826,0.33333,0.40157,0.6281,0.19514
HUN,Hungary,39,0.66374,0.45098,0.55905,0.8668,0.5653600000000001
ISL,Iceland,19,0.797,0.49018999999999996,0.61417,0.9178,0.85906
IND,India,118,0.38343,0.62745,0.5433,0.4698,0.13723
IDN,Indonesia,106,0.44873999999999997,0.29411,0.3622,0.6786,0.30544
IRN,Iran (Islamic Republic of),105,0.45075,0.29411,0.37006999999999995,0.6882,0.29401
SVN,Slovenia,41,0.65054,0.39215,0.42518999999999996,0.9072,0.61925
SLB,Solomon Islands,170,0.20870999999999998,0.07843,0.05511,0.4702,0.10084
SOM,Somalia,193,0.013869999999999999,0.03921,0.01574,0.0,0.02588
ZAF,South Africa,93,0.48688000000000003,0.33333,0.38582,0.7282,0.34662
LKA,Sri Lanka,74,0.54176,0.64705,0.65354,0.7376,0.23412
SDN,Sudan,154,0.26061999999999996,0.2745,0.29133000000000003,0.3059,0.18466
SUR,Suriname,115,0.40446,0.13725,0.14173,0.6749,0.39678
SWZ,Eswatini,138,0.30558,0.15686,0.13385,0.62,0.16288
UZB,Uzbekistan,100,0.46951000000000004,0.47058,0.44881000000000004,0.7264,0.23334000000000002
VUT,Vanuatu,159,0.25705,0.17647000000000002,0.07874,0.5736,0.11882000000000001
VEN,Venezuela,67,0.5563899999999999,0.56862,0.55118,0.7685,0.34948
VNM,Viet Nam,99,0.47045,0.49018999999999996,0.41731999999999997,0.6148,0.37923
SWE,Sweden,14,0.8225,0.6078399999999999,0.7007800000000001,0.8802,0.88656
CHE,Switzerland,30,0.7267,0.37254,0.50393,0.8562,0.8199200000000001
SYR,Syrian Arab Republic,135,0.31340999999999997,0.09802999999999999,0.15748,0.5835,0.19924
TJK,Tajikistan,129,0.33951,0.11764000000000001,0.06299,0.7249,0.23062
THA,Thailand,102,0.46308,0.54901,0.44093999999999994,0.664,0.28428000000000003
MKD,The former Yugoslav Republic of Macedonia,96,0.47198,0.21568,0.24409,0.7198,0.45206999999999997
TLS,Timor-Leste,161,0.25276,0.29411,0.20472,0.4831,0.07042000000000001
TGO,Togo,162,0.24463000000000001,0.09802999999999999,0.11023,0.5401,0.08359
TON,Tonga,98,0.47057,0.33333,0.34645,0.8304,0.23481999999999997
TTO,Trinidad and Tobago,91,0.49317,0.31372,0.3307,0.6945,0.45428999999999997
TUN,Tunisia,75,0.53895,0.64705,0.63779,0.6717,0.30741
TUR,Turkey,71,0.54428,0.49018999999999996,0.55905,0.7133,0.36048
TKM,Turkmenistan,128,0.35109,0.11764000000000001,0.08661,0.7478,0.21885
TUV,Tuvalu,137,0.3059,0.11764000000000001,0.03937,0.7022,0.17611
UGA,Uganda,156,0.25926,0.13725,0.1496,0.5271,0.10107999999999999
UKR,Ukraine,87,0.50316,0.43137,0.26771,0.8616,0.38016
ARE,United Arab Emirates,32,0.71358,0.8431299999999999,0.8818799999999999,0.6657,0.59319
GBR,United Kingdom of Great Britain and Northern Ireland,8,0.8694799999999999,0.96078,0.8976299999999999,0.8574,0.8534
TZA,United Republic of Tanzania,146,0.27642,0.39215,0.29921,0.4492,0.08082
USA,United States of America,7,0.8748299999999999,0.92156,0.9448799999999999,0.939,0.74059
URY,Uruguay,26,0.74195,0.98039,0.85039,0.8148,0.5607
YEM,Yemen,150,0.27199,0.2745,0.30708,0.384,0.12485999999999998
ZMB,Zambia,163,0.23893000000000003,0.17647000000000002,0.14173,0.4504,0.12470999999999999
ZWE,Zimbabwe,126,0.35845,0.45098,0.30708,0.5445,0.22376
SSD,South Sudan,185,0.14184000000000002,0.058820000000000004,0.00787,0.4035,0.01411
RWA,Rwanda,125,0.35888000000000003,0.5098,0.51181,0.482,0.08284
KNA,Saint Kitts and Nevis,90,0.49795,0.11764000000000001,0.13385,0.7279,0.6320899999999999
LCA,Saint Lucia,104,0.45248,0.2745,0.24409,0.7133,0.40004
VCT,Saint Vincent and the Grenadines,113,0.41578000000000004,0.15686,0.15748,0.7088,0.38104
WSM,Samoa,111,0.42039,0.39215,0.24409,0.7499,0.26723
SMR,San Marino,62,0.58225,0.19607,0.27559,0.8354,0.63577
STP,Sao Tome and Principe,169,0.22179000000000001,0.0196,0.00787,0.5177,0.13976
SAU,Saudi Arabia,36,0.69001,0.56862,0.77165,0.7461,0.5522699999999999
SEN,Senegal,151,0.26657,0.35294000000000003,0.30708,0.3283,0.16437000000000002
SRB,Serbia,69,0.54715,0.41176,0.3937,0.7796,0.46813999999999995
SYC,Seychelles,81,0.51126,0.2549,0.3307,0.731,0.47206000000000004
SGP,Singapore,3,0.9076200000000001,0.90196,0.9921200000000001,0.8515,0.8792700000000001
SVK,Slovakia,51,0.61478,0.62745,0.48818,0.8265,0.52963
